1 36 36 72 74 9
-3 32 32 67 74 17
-7 27 27 62 72 24
-10 23 23 56 69 30
-12 19 19 50 66 35
-14 15 15 44 62 39
-15 12 12 38 58 42
-16 9 9 32 53 44
-17 6 6 27 48 45
-17 3 3 21 42 46
-17 0 0 16 37 46
-17 -3 -3 12 32 45
-16 -5 -5 7 27 44
-15 -6 -6 3 22 42
-14 -7 -7 0 17 39
-13 -8 -8 -3 13 37
-12 -9 -9 -5 9 34
-10 -9 -9 -8 5 31
-8 -9 -9 -10 2 28
-6 -8 -8 -12 -1 25
-5 -8 -8 -12 -3 21
-4 -8 -8 -12 -5 18
-3 -8 -8 -12 -6 15
-2 -8 -8 -12 -7 13
-1 -8 -8 -12 -8 11
0 -8 -8 -12 -9 9
1 -7 -7 -11 -9 6
2 -6 -6 -10 -9 4
3 -5 -5 -9 -9 2
4 -4 -4 -8 -9 0
5 -3 -3 -7 -8 -2
6 -2 -2 -7 -8 -2
7 -1 -1 -7 -8 -2
8 0 0 -7 -8 -2
8 1 1 -6 -8 -2
8 2 2 -5 -8 -2
8 3 3 -4 -8 -2
8 4 4 -3 -7 -2
8 5 5 -2 -6 -2
8 6 6 -1 -5 -2
8 7 7 0 -4 -2
8 8 8 1 -3 -2
7 8 8 3 -2 -2
6 7 7 5 -1 -2
6 7 7 6 1 -2
6 7 7 6 2 -1
6 7 7 6 3 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
6 7 7 6 4 0
