-0x0001B -0x0001B 0x00000 -0x00026
0x00000 -0x0001E 0x00015 -0x00015
0x00010 -0x00010 0x00017 0x00000
0x00010 0x00000 0x0000B 0x0000B
0x00006 0x00007 -0x00001 0x00009
-0x00001 0x00003 -0x00003 0x00001
0x00002 -0x00003 0x00003 -0x00001
0x00008 0x00000 0x00006 0x00006
0x00009 0x0000A -0x00001 0x0000D
-0x00001 0x00012 -0x0000D 0x0000C
-0x00011 0x00010 -0x00017 -0x00001
-0x0001B 0x00000 -0x00013 -0x00013
-0x00015 -0x00015 0x00000 -0x0001E
-0x00001 -0x00022 0x00017 -0x00019
0x00019 -0x0001B 0x00025 -0x00001
0x00028 0x00000 0x0001C 0x0001C
0x0001E 0x0001E 0x00000 0x0002A
-0x00001 0x0002C -0x00020 0x0001E
-0x00022 0x00020 -0x0002F -0x00001
-0x00031 0x00000 -0x00023 -0x00023
-0x00024 -0x00024 0x00000 -0x00033
-0x00001 -0x00034 0x00024 -0x00025
0x00024 -0x00025 0x00034 -0x00001
0x00034 -0x00001 0x00025 0x00024
0x00025 0x00024 0x00001 0x00034
0x00001 0x00034 -0x00024 0x00025
-0x00024 0x00025 -0x00034 0x00001
-0x00033 0x00001 -0x00025 -0x00023
-0x00024 -0x00022 -0x00001 -0x00031
-0x00001 -0x00030 0x00021 -0x00023
0x00020 -0x00022 0x0002F -0x00001
0x0002F 0x00000 0x00021 0x00021
0x00020 0x00020 0x00000 0x0002D
-0x00001 0x0002C -0x00020 0x0001E
-0x00020 0x0001E -0x0002C -0x00001
-0x0002B -0x00001 -0x0001E -0x0001F
-0x0001D -0x0001E 0x00001 -0x0002A
0x00001 -0x00029 0x0001E -0x0001C
0x0001D -0x0001B 0x00028 0x00001
0x00026 0x00001 0x0001A 0x0001C
0x00019 0x0001B -0x00001 0x00025
-0x00001 0x00023 -0x00019 0x00018
-0x00018 0x00017 -0x00021 -0x00001
-0x0001F 0x00000 -0x00016 -0x00016
-0x00015 -0x00014 -0x00001 -0x0001D
-0x00001 -0x0001B 0x00012 -0x00014
0x00010 -0x00012 0x00018 -0x00001
0x00016 -0x00001 0x00010 0x0000F
0x0000E 0x0000E 0x00000 0x00014
-0x00001 0x00012 -0x0000D 0x0000C
-0x0000C 0x0000B -0x00010 -0x00001
-0x0000F -0x00001 -0x0000A -0x0000B
-0x00009 -0x0000A 0x00001 -0x0000D
0x00001 -0x0000C 0x00009 -0x00008
0x00008 -0x00007 0x0000B 0x00001
0x0000A 0x00001 0x00006 0x00008
0x00005 0x00007 -0x00001 0x00008
-0x00001 0x00007 -0x00006 0x00004
-0x00005 0x00003 -0x00006 -0x00001
-0x00005 0x00000 -0x00004 -0x00004
-0x00003 -0x00003 0x00000 -0x00004
-0x00001 -0x00003 0x00001 -0x00003
0x00000 -0x00002 0x00001 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
0x00000 -0x00001 0x00001 -0x00001
0x00001 0x00000 0x00001 0x00001
0x00001 0x00001 0x00000 0x00001
-0x00001 0x00001 -0x00001 0x00000
-0x00001 0x00000 -0x00001 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
0x00000 -0x00001 0x00001 -0x00001
0x00001 -0x00001 0x00001 0x00000
0x00001 0x00000 0x00001 0x00001
0x00001 0x00001 0x00000 0x00001
-0x00001 0x00001 -0x00001 0x00000
-0x00001 0x00000 -0x00001 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
0x00000 -0x00001 0x00001 -0x00001
0x00001 -0x00001 0x00001 0x00000
0x00001 0x00000 0x00001 0x00001
0x00001 0x00001 0x00000 0x00001
-0x00001 0x00001 -0x00001 0x00000
-0x00001 0x00000 -0x00001 -0x00001
-0x00001 0x00000 -0x00001 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
-0x00001 -0x00001 0x00000 -0x00001
